# Ghidra Function Export: client.dll
# Total functions: 1352
# Named (non-FUN_): 436
# Auto-named (FUN_): 916
# Thunks: 48
# External: 0
# Format: address | size | refs | calling_conv | flags | name
#====================================================================================================
1001dd30 |     79 |    1 | __cdecl      | -          | FUN_1001dd30
1001dd80 |     79 |    1 | __cdecl      | -          | FUN_1001dd80
1001ddd0 |     79 |    1 | __cdecl      | -          | FUN_1001ddd0
1001de20 |     83 |    1 | __cdecl      | -          | FUN_1001de20
1001de80 |     41 |    1 | __fastcall   | -          | FUN_1001de80
1001ded0 |     99 |    1 | __thiscall   | -          | FUN_1001ded0
1001df50 |     12 |    2 | __cdecl      | -          | weapon_shotgun
1001dff0 |    122 |    1 | __fastcall   | -          | FUN_1001dff0
1001ea90 |     12 |    2 | __cdecl      | -          | cust_1ShotgunSpread
1001eaa0 |     58 |    1 | __fastcall   | -          | FUN_1001eaa0
1001eb50 |     12 |    2 | __cdecl      | -          | cust_2ShotgunShells
1001eb60 |     58 |    1 | __fastcall   | -          | FUN_1001eb60
1001ec10 |     12 |    2 | __cdecl      | -          | ammo_buckshot
1001ec20 |     79 |    1 | __cdecl      | -          | FUN_1001ec20
1001ec70 |     79 |    1 | __cdecl      | -          | FUN_1001ec70
1001ecc0 |     79 |    1 | __cdecl      | -          | FUN_1001ecc0
1001ed10 |     83 |    1 | __cdecl      | -          | FUN_1001ed10
1001ed70 |     41 |    1 | __fastcall   | -          | FUN_1001ed70
1001ee50 |     12 |    3 | __cdecl      | -          | weapon_SPchemicalgun
1001ef60 |    101 |    1 | __fastcall   | -          | FUN_1001ef60
1001f050 |    257 |    1 | __fastcall   | -          | FUN_1001f050
1001fb40 |    350 |    1 | __fastcall   | -          | FUN_1001fb40
1001fca0 |    245 |    1 | __fastcall   | -          | FUN_1001fca0
1001fda0 |    367 |    2 | __fastcall   | -          | FUN_1001fda0
1001ff10 |     96 |    1 | __fastcall   | -          | FUN_1001ff10
1001ff70 |    267 |    2 | __fastcall   | -          | FUN_1001ff70
10020080 |     12 |    5 | __cdecl      | -          | cust_1SPChemicalGunPressure
100203a0 |     12 |    2 | __cdecl      | -          | ammo_chemical
100203b0 |     79 |    1 | __cdecl      | -          | FUN_100203b0
10020400 |     79 |    1 | __cdecl      | -          | FUN_10020400
10020450 |     83 |    1 | __cdecl      | -          | FUN_10020450
100204b0 |     41 |    1 | __fastcall   | -          | FUN_100204b0
100205c0 |     33 |    9 | __stdcall    | -          | FUN_100205c0
10020620 |     31 |    9 | __cdecl      | -          | FUN_10020620
10020640 |      7 |    4 | __stdcall    | -          | FUN_10020640
10020650 |    108 |    2 | __cdecl      | -          | FUN_10020650
100206c0 |      6 |   78 | __stdcall    | -          | HUD_AddEntity
100206d0 |      3 |   27 | __stdcall    | -          | FUN_100206d0
10020700 |      9 |   13 | __stdcall    | -          | FUN_10020700
10020740 |      3 |    1 | __stdcall    | -          | FUN_10020740
10020750 |      3 |   14 | __thiscall   | -          | MonsterUse
100207b0 |      3 |   16 | __stdcall    | -          | FUN_100207b0
100207e0 |      5 |   23 | __stdcall    | -          | FUN_100207e0
100207f0 |      3 |   13 | __stdcall    | -          | FUN_100207f0
10020800 |      3 |  207 | __thiscall   | -          | BounceTouch
10020810 |      3 |  250 | __stdcall    | -          | FUN_10020810
10020860 |    560 |    1 | __stdcall    | -          | FUN_10020860
10020c00 |    120 |    8 | __cdecl      | -          | FUN_10020c00
10020ca0 |     74 |    2 | __thiscall   | -          | FUN_10020ca0
10020d60 |     95 |   10 | __thiscall   | -          | FUN_10020d60
10020dc0 |     39 |   19 | __fastcall   | -          | FUN_10020dc0
10020e00 |     23 |   19 | __fastcall   | -          | FUN_10020e00
10020e40 |    454 |   19 | __fastcall   | -          | FUN_10020e40
10021010 |     23 |    2 | __fastcall   | -          | FUN_10021010
10021030 |     19 |    2 | __fastcall   | -          | FUN_10021030
10021050 |     25 |   24 | __stdcall    | -          | FUN_10021050
10021070 |    271 |    1 | __stdcall    | -          | FUN_10021070
10021180 |   1329 |    1 | __cdecl      | -          | FUN_10021180
10021700 |     73 |    2 | __cdecl      | -          | HUD_PostRunCmd
10021850 |    193 |    1 | __thiscall   | -          | FUN_10021850
10021920 |    172 |    2 | __fastcall   | -          | FUN_10021920
100219d0 |     69 |    1 | __fastcall   | -          | FUN_100219d0
10021a20 |     74 |    1 | __fastcall   | -          | FUN_10021a20
10021d10 |     43 |    1 | __fastcall   | -          | FUN_10021d10
10021d40 |     23 |   10 | __thiscall   | -          | FUN_10021d40
10021d60 |    105 |   21 | __thiscall   | -          | FUN_10021d60
10021dd0 |   1323 |    2 | __stdcall    | -          | FUN_10021dd0
10022300 |    228 |    4 | __thiscall   | -          | FUN_10022300
100223f0 |    125 |   11 | __thiscall   | -          | FUN_100223f0
10022470 |    158 |    2 | __stdcall    | -          | FUN_10022470
10022730 |    646 |    1 | __fastcall   | -          | FUN_10022730
10022a30 |   1489 |    1 | __fastcall   | -          | FUN_10022a30
10023410 |    146 |    1 | __thiscall   | -          | FUN_10023410
100234b0 |    649 |    6 | __thiscall   | -          | FUN_100234b0
10023740 |     52 |    1 | __stdcall    | -          | FUN_10023740
10023780 |     90 |    1 | __stdcall    | -          | FUN_10023780
100237e0 |     42 |    1 | __stdcall    | -          | FUN_100237e0
10023810 |     98 |    1 | __thiscall   | -          | FUN_10023810
10023880 |    338 |    1 | __thiscall   | -          | FUN_10023880
100239e0 |    566 |    1 | __thiscall   | -          | FUN_100239e0
10023c20 |    201 |    1 | __stdcall    | -          | FUN_10023c20
10023cf0 |    189 |    1 | __thiscall   | -          | FUN_10023cf0
10023db0 |    540 |    1 | __thiscall   | -          | FUN_10023db0
10023fd0 |    357 |    1 | __stdcall    | -          | FUN_10023fd0
10024140 |    322 |   10 | __thiscall   | -          | FUN_10024140
10024290 |     12 |    1 | __cdecl      | -          | FUN_10024290
100242a0 |     12 |    1 | __cdecl      | -          | FUN_100242a0
100242b0 |     12 |    1 | __cdecl      | -          | FUN_100242b0
100242c0 |     12 |    1 | __cdecl      | -          | FUN_100242c0
100242d0 |     12 |    1 | __cdecl      | -          | FUN_100242d0
100242e0 |     12 |    1 | __cdecl      | -          | FUN_100242e0
100242f0 |     12 |    1 | __cdecl      | -          | FUN_100242f0
10024300 |     12 |    1 | __cdecl      | -          | FUN_10024300
10024310 |     12 |    1 | __cdecl      | -          | FUN_10024310
10024320 |     12 |    1 | __cdecl      | -          | FUN_10024320
10024330 |    179 |    1 | __cdecl      | -          | FUN_10024330
100243f0 |    110 |    1 | __cdecl      | -          | FUN_100243f0
10024460 |     61 |    1 | __cdecl      | -          | FUN_10024460
100244a0 |    234 |    1 | __cdecl      | -          | FUN_100244a0
10024590 |    406 |    2 | __fastcall   | -          | FUN_10024590
10024730 |    407 |    2 | __fastcall   | -          | FUN_10024730
100248d0 |    234 |    1 | __cdecl      | -          | FUN_100248d0
10024d70 |    188 |    2 | __cdecl      | -          | FUN_10024d70
10024e30 |    191 |    1 | __cdecl      | -          | FUN_10024e30
10024ef0 |   2396 |    1 | __fastcall   | -          | FUN_10024ef0
10025850 |    133 |    3 | __stdcall    | -          | FUN_10025850
100258e0 |    840 |    1 | __fastcall   | -          | FUN_100258e0
10025c30 |   1455 |    1 | __stdcall    | -          | FUN_10025c30
100261e0 |    220 |    1 | __stdcall    | -          | FUN_100261e0
100262c0 |    196 |    1 | __stdcall    | -          | FUN_100262c0
100263a0 |    147 |    1 | __fastcall   | -          | FUN_100263a0
10026440 |   1009 |    1 | __stdcall    | -          | FUN_10026440
10026840 |    111 |    1 | __stdcall    | -          | FUN_10026840
100268c0 |    119 |    8 | __cdecl      | -          | FUN_100268c0
10026bf0 |     49 |    1 | __thiscall   | -          | FUN_10026bf0
10026c30 |    128 |    1 | __thiscall   | -          | FUN_10026c30
10026cb0 |     29 |    1 | __fastcall   | -          | FUN_10026cb0
10026cd0 |    775 |    1 | __thiscall   | -          | FUN_10026cd0
10027080 |     51 |    1 | __fastcall   | -          | FUN_10027080
